date,TALUSD
25/10/2018 00:00,1.1427984420398294
26/10/2018 00:00,1.1459652762941654
29/10/2018 00:00,1.1370310965863348
30/10/2018 00:00,1.1375914255222015
31/10/2018 00:00,1.134754545635442
01/11/2018 00:00,1.1456499668022462
02/11/2018 00:00,1.1449249049198578
05/11/2018 00:00,1.1444983350787192
06/11/2018 00:00,1.1434640704676895
07/11/2018 00:00,1.1444637456173983
08/11/2018 00:00,1.1401929777464477
09/11/2018 00:00,1.1351228137191158
12/11/2018 00:00,1.1297126946736473
13/11/2018 00:00,1.1329110405672682
14/11/2018 00:00,1.1352733145554061
15/11/2018 00:00,1.136130603232487
16/11/2018 00:00,1.1421597393408962
19/11/2018 00:00,1.145008320533515
20/11/2018 00:00,1.140552815910164
21/11/2018 00:00,1.142941650908971
