date,USDSGD,USDCNY,USDEUR,USDGBP,USDCHF,USDJPY,USDGOLD
10/11/2015 00:00,1.422,6.363,0.932,0.661,1.006,123.17,1091.2
11/11/2015 00:00,1.42,6.364,0.93,0.657,1.004,122.84,1084.7
12/11/2015 00:00,1.419,6.369,0.925,0.657,1.0,122.645,1086.6
13/11/2015 00:00,1.424,6.372,0.928,0.657,1.006,122.61,1081.3
16/11/2015 00:00,1.422,6.373,0.936,0.658,1.01,123.25,1085.4
17/11/2015 00:00,1.424,6.386,0.94,0.657,1.014,123.415,1068.8
18/11/2015 00:00,1.421,6.386,0.938,0.656,1.02,123.565,1067.5
19/11/2015 00:00,1.413,6.385,0.932,0.654,1.013,122.945,1078.0
20/11/2015 00:00,1.413,6.387,0.939,0.658,1.019,122.78,1076.4
23/11/2015 00:00,1.417,6.389,0.94,0.661,1.019,122.87,1068.6
24/11/2015 00:00,1.41,6.387,0.939,0.663,1.017,122.495,1075.5
25/11/2015 00:00,1.404,6.389,0.942,0.661,1.022,122.715,1072.0
26/11/2015 00:00,1.408,6.389,0.943,0.662,1.024,122.625,1070.9
27/11/2015 00:00,1.413,6.396,0.944,0.665,1.03,122.805,1055.9
30/11/2015 00:00,1.411,6.399,0.946,0.664,1.029,123.115,1065.8
01/12/2015 00:00,1.407,6.398,0.941,0.663,1.026,122.895,1063.8
02/12/2015 00:00,1.412,6.388,0.943,0.669,1.019,123.245,1054.5
03/12/2015 00:00,1.397,6.399,0.915,0.661,0.994,122.65,1061.7
04/12/2015 00:00,1.398,6.403,0.919,0.662,0.996,123.115,1084.4
07/12/2015 00:00,1.406,6.409,0.923,0.665,1.001,123.355,1076.4
08/12/2015 00:00,1.408,6.408,0.918,0.666,0.993,122.875,1075.7
09/12/2015 00:00,1.405,6.428,0.908,0.659,0.983,121.58,1078.7
10/12/2015 00:00,1.404,6.439,0.914,0.66,0.988,121.635,1072.6
11/12/2015 00:00,1.414,6.458,0.91,0.659,0.983,120.97,1076.9
14/12/2015 00:00,1.408,6.449,0.909,0.659,0.985,120.9,1065.6
15/12/2015 00:00,1.406,6.468,0.915,0.665,0.991,121.61,1064.2
16/12/2015 00:00,1.408,6.473,0.917,0.667,0.991,122.255,1072.4
17/12/2015 00:00,1.419,6.48,0.923,0.671,0.995,122.525,1050.7
18/12/2015 00:00,1.413,6.483,0.92,0.672,0.992,121.14,1066.2
21/12/2015 00:00,1.408,6.478,0.916,0.672,0.992,121.265,1081.5
22/12/2015 00:00,1.404,6.471,0.913,0.675,0.988,121.045,1073.8
23/12/2015 00:00,1.405,6.478,0.917,0.672,0.991,120.925,1069.4
24/12/2015 00:00,1.406,6.476,0.912,0.671,0.986,120.335,1077.3
28/12/2015 00:00,1.407,6.486,0.911,0.672,0.988,120.37,1070.5
29/12/2015 00:00,1.411,6.515,0.915,0.675,0.993,120.515,1079.7
30/12/2015 00:00,1.414,6.488,0.915,0.675,0.989,120.5,1060.1
07/01/2016 00:00,1.433,6.531,0.916,0.684,0.994,117.63,1106.4
08/01/2016 00:00,1.443,6.566,0.916,0.689,0.995,117.24,1097.8
11/01/2016 00:00,1.433,6.585,0.921,0.687,1.001,117.725,1098.0
12/01/2016 00:00,1.438,6.575,0.922,0.693,1.003,117.715,1086.9
13/01/2016 00:00,1.437,6.577,0.919,0.693,1.006,117.635,1090.0
14/01/2016 00:00,1.437,6.593,0.92,0.694,1.006,118.135,1073.9
15/01/2016 00:00,1.44,6.581,0.916,0.701,1.002,117.055,1093.8
18/01/2016 00:00,1.439,6.561,0.918,0.702,1.005,117.385,1089.7
19/01/2016 00:00,1.438,6.531,0.917,0.706,1.004,117.645,1088.2
20/01/2016 00:00,1.438,6.569,0.918,0.705,1.005,116.985,1109.8
21/01/2016 00:00,1.433,6.582,0.92,0.704,1.008,117.84,1094.4
22/01/2016 00:00,1.43,6.563,0.926,0.701,1.016,118.78,1100.5
25/01/2016 00:00,1.43,6.536,0.922,0.702,1.013,118.36,1106.4
26/01/2016 00:00,1.426,6.531,0.921,0.697,1.018,118.44,1115.4
27/01/2016 00:00,1.431,6.538,0.918,0.702,1.015,118.63,1115.8
28/01/2016 00:00,1.427,6.538,0.914,0.697,1.014,118.785,1115.4
29/01/2016 00:00,1.424,6.577,0.923,0.702,1.023,121.12,1116.4
01/02/2016 00:00,1.423,6.541,0.918,0.693,1.02,121.01,1127.8
02/02/2016 00:00,1.429,6.549,0.915,0.694,1.018,119.825,1127.2
03/02/2016 00:00,1.414,6.575,0.902,0.685,1.006,118.025,1144.4
04/02/2016 00:00,1.398,6.564,0.893,0.686,0.993,116.89,1155.8
05/02/2016 00:00,1.409,6.576,0.896,0.69,0.991,116.83,1157.8
08/02/2016 00:00,1.406,6.575,0.893,0.693,0.986,115.59,1197.1
09/02/2016 00:00,1.397,6.486,0.886,0.691,0.973,115.095,1198.7
10/02/2016 00:00,1.392,6.573,0.886,0.688,0.974,113.475,1194.3
11/02/2016 00:00,1.39,6.573,0.884,0.691,0.972,112.635,1251.2
12/02/2016 00:00,1.398,6.533,0.888,0.689,0.977,113.22,1239.1
15/02/2016 00:00,1.4,6.496,0.896,0.693,0.987,114.485,1209.1
16/02/2016 00:00,1.405,6.519,0.898,0.699,0.989,114.2,1203.4
17/02/2016 00:00,1.404,6.526,0.899,0.7,0.993,114.125,1211.1
18/02/2016 00:00,1.403,6.52,0.9,0.698,0.993,113.255,1225.0
19/02/2016 00:00,1.405,6.521,0.898,0.694,0.99,112.575,1230.4
22/02/2016 00:00,1.399,6.519,0.907,0.707,1.0,112.96,1208.5
23/02/2016 00:00,1.409,6.524,0.907,0.713,0.992,112.025,1222.3
24/02/2016 00:00,1.405,6.497,0.908,0.718,0.989,112.12,1240.7
25/02/2016 00:00,1.402,6.538,0.907,0.716,0.99,112.945,1241.5
26/02/2016 00:00,1.408,6.539,0.915,0.721,0.997,113.985,1219.8
29/02/2016 00:00,1.405,6.552,0.919,0.718,0.998,112.43,1234.9
01/03/2016 00:00,1.401,6.544,0.92,0.717,0.998,114.075,1230.3
02/03/2016 00:00,1.398,6.552,0.92,0.71,0.996,113.63,1242.6
03/03/2016 00:00,1.389,6.499,0.913,0.705,0.992,113.695,1256.9
04/03/2016 00:00,1.375,6.509,0.909,0.703,0.993,113.78,1263.3
07/03/2016 00:00,1.379,6.516,0.908,0.701,0.996,113.37,1263.2
08/03/2016 00:00,1.385,6.506,0.908,0.704,0.996,112.66,1270.2
09/03/2016 00:00,1.382,6.513,0.909,0.703,0.998,113.27,1256.1
10/03/2016 00:00,1.382,6.509,0.895,0.7,0.985,113.15,1272.0
11/03/2016 00:00,1.373,6.496,0.897,0.695,0.983,113.805,1259.2
14/03/2016 00:00,1.377,6.5,0.901,0.699,0.987,113.785,1242.9
15/03/2016 00:00,1.381,6.51,0.9,0.707,0.987,113.175,1230.4
16/03/2016 00:00,1.366,6.446,0.892,0.702,0.978,112.8,1229.3
17/03/2016 00:00,1.351,6.506,0.884,0.691,0.967,111.415,1264.5
18/03/2016 00:00,1.359,6.462,0.887,0.691,0.969,111.553,1253.8
21/03/2016 00:00,1.36,6.486,0.89,0.696,0.971,112.13,1247.0
22/03/2016 00:00,1.361,6.49,0.891,0.703,0.973,112.34,1248.2
23/03/2016 00:00,1.367,6.507,0.894,0.708,0.975,112.4,1223.7
24/03/2016 00:00,1.37,6.516,0.895,0.707,0.976,112.785,1221.4
28/03/2016 00:00,1.37,6.506,0.893,0.701,0.975,113.435,1219.9
29/03/2016 00:00,1.355,6.509,0.885,0.695,0.966,112.685,1235.6
30/03/2016 00:00,1.35,6.468,0.882,0.695,0.965,112.435,1226.9
31/03/2016 00:00,1.348,6.449,0.879,0.696,0.962,112.535,1233.2
01/04/2016 00:00,1.351,6.482,0.878,0.703,0.958,111.62,1220.8
04/04/2016 00:00,1.352,6.478,0.878,0.701,0.959,111.315,1218.5
05/04/2016 00:00,1.356,6.478,0.879,0.706,0.956,110.335,1228.7
06/04/2016 00:00,1.347,6.479,0.878,0.708,0.956,109.75,1223.1
07/04/2016 00:00,1.353,6.465,0.879,0.711,0.956,108.225,1236.2
08/04/2016 00:00,1.349,6.464,0.877,0.708,0.954,108.1,1242.4
11/04/2016 00:00,1.344,6.463,0.877,0.703,0.955,107.955,1256.6
12/04/2016 00:00,1.344,6.468,0.879,0.701,0.956,108.58,1259.4
13/04/2016 00:00,1.35,6.476,0.887,0.704,0.967,109.285,1245.7
14/04/2016 00:00,1.363,6.485,0.888,0.707,0.967,109.4,1224.8
15/04/2016 00:00,1.358,6.478,0.886,0.704,0.968,108.81,1232.8
18/04/2016 00:00,1.352,6.475,0.884,0.701,0.964,108.835,1233.1
19/04/2016 00:00,1.337,6.46,0.881,0.695,0.962,109.31,1252.9
20/04/2016 00:00,1.345,6.468,0.885,0.698,0.972,109.785,1253.2
21/04/2016 00:00,1.349,6.479,0.886,0.698,0.975,109.44,1249.0
22/04/2016 00:00,1.354,6.498,0.891,0.694,0.979,111.8,1228.7
25/04/2016 00:00,1.352,6.496,0.887,0.69,0.975,111.22,1239.1
26/04/2016 00:00,1.352,6.495,0.885,0.686,0.974,111.305,1242.1
27/04/2016 00:00,1.349,6.495,0.883,0.688,0.971,111.52,1249.5
28/04/2016 00:00,1.345,6.475,0.881,0.685,0.966,108.085,1265.5
