,TALUSD
161,1.294305297675727
162,1.2842702299067048
163,1.2859939662634274
164,1.2892146441611916
165,1.2875588475626436
166,1.2829075059345303
167,1.2732041443638267
168,1.276041864615107
169,1.2753749861682608
170,1.2756464998864212
171,1.2791372371746863
172,1.278946991074723
173,1.2779292730404155
174,1.278896747569017
175,1.2787607939010845
176,1.2815416254807501
177,1.2775637430880395
178,1.2748893371504169
179,1.2769364826956269
180,1.2836902568463373
181,1.2876940692701102
182,1.2839116849328647
183,1.2793503804910469
184,1.280532122019461
185,1.2803199267476262
186,1.2812293977503646
187,1.278453208386763
188,1.2786771876704648
189,1.2906734028972109
190,1.2913075137651622
191,1.2919939366768423
192,1.2873520635079572
193,1.29165328891305
194,1.2824490899697842
195,1.281068344486417
196,1.2874851467848816
197,1.2845897528823487
198,1.286303469940557
199,1.2871348645636143
200,1.2901321176465543
201,1.29247154520472
202,1.2952395152051894
203,1.2953988846547686
204,1.3006682013655109
205,1.3058341999048664
206,1.3081264174132738
207,1.3074279497261232
208,1.3057211833466986
209,1.3040986726003652
210,1.3048098238350545
211,1.308240664046045
212,1.308746225863802
213,1.3033629193027811
214,1.3059701576517542
215,1.3072474817744928
216,1.3108557356898327
217,1.3065173284927019
218,1.3079570272566188
219,1.3135841638170662
220,1.3101907510644326
221,1.3107995966154389
222,1.3109265697673507
223,1.3174676245356214
224,1.3196823029630378
225,1.3219947202996005
226,1.3194221981032042
227,1.3155308040980218
228,1.3072961039983384
229,1.3011896760668196
230,1.3034976015937323
231,1.301386241931843
232,1.3014364405597985
233,1.3003251719796691
234,1.2949478380265245
235,1.2946564016642785
236,1.292953238675567
237,1.2919631483547784
238,1.2926401950699815
239,1.2892116016678525
240,1.2934619359429858
241,1.2942712471399032
242,1.3022763356723455
243,1.3034627815662148
244,1.3079731960743524
245,1.3071946954765812
246,1.3057622448986985
247,1.3002102425279138
248,1.3005233322569316
249,1.2982776241141765
250,1.2942700821792854
251,1.294983313287664
252,1.2968238246659753
253,1.2990992071662786
254,1.2989065985582804
255,1.296489813406401
256,1.299503948707552
257,1.296911681463317
258,1.3032169106679448
259,1.3071673772458265
260,1.301636253326732
261,1.2994965656444133
262,1.297170342858468
263,1.2954872386638407
264,1.2939117235764206
265,1.2977387593933813
266,1.2960489266765116
267,1.29499597055556
268,1.2963528224360406
269,1.2957440391765065
270,1.2939957270155331
271,1.2941136783889593
272,1.2920979030695325
273,1.292191188664722
274,1.286049656590181
275,1.2827715779905575
276,1.2833170250312589
277,1.2822157457567267
278,1.279496440744492
279,1.2798523837944575
280,1.2788660481220662
281,1.2838639825671425
282,1.282157179110161
283,1.2819074379714135
284,1.2825240135091411
285,1.2825422641203446
286,1.2876858549277763
287,1.287488298807866
288,1.2882510290207987
289,1.2858380974371661
290,1.2879029949217302
291,1.2969006084897998
292,1.2972994681510872
293,1.2985275934546683
294,1.298460170489763
295,1.2993421001480263
296,1.2987123319499083
297,1.3010111003307094
298,1.3049326636689667
299,1.305365531171437
300,1.3042048061834648
301,1.2998324999114903
302,1.3000038027129834
303,1.2998111371977548
304,1.3005550612105965
305,1.303601957362119
306,1.3053670814827678
307,1.3049754173714199
308,1.2989325558302978
309,1.295296185203738
310,1.2945698745430103
311,1.2985976139424542
312,1.2964315172009637
313,1.2973529155048749
314,1.2937221597836843
315,1.293492349292574
316,1.2912910597592981
317,1.2915950754473189
318,1.291924338535587
319,1.2916273118764936
320,1.2866010598308715
321,1.2840135241482074
322,1.2878297696484913
323,1.2863008118153798
324,1.2843963409104249
325,1.290570875604437
326,1.2905107849539617
327,1.291629580698136
328,1.2906800609073206
329,1.2906957668825705
330,1.290199640989344
331,1.2906587355682397
332,1.2905886299230347
333,1.2878864665949856
334,1.2844390236365022
335,1.2807804354526824
336,1.276900208379873
337,1.276684070245765
338,1.2744365445358663
339,1.274652577302642
340,1.2762438529047122
341,1.277423972133568
342,1.2729376740315657
343,1.2741470591863884
344,1.2677380605114401
345,1.2695155251355466
346,1.2604412701351162
347,1.2609134940945326
348,1.2544614883800418
349,1.2540125301844136
350,1.2522717658592846
351,1.2513330782346046
352,1.2505553707574701
353,1.2499825185695987
354,1.251777786815141
355,1.245233409725088
356,1.2456058777468677
357,1.2406683899658555
358,1.2411719817776907
359,1.243102342892378
360,1.2393548654617021
361,1.2395495267590761
362,1.2351813153465223
363,1.2343982363432071
364,1.231096616603987
365,1.2314913671752534
